#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="CalibratedYuleModel.t:tree" spec="beast.base.evolution.speciation.CalibratedYuleModel">
#            <parameter id="birthRateY.t:tree" lower="0.0" name="birthRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:tree" spec="beast.base.evolution.tree.Tree">
#                <taxonset id="TaxonSet.Primates" spec="beast.base.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="CalibratedYuleBirthRatePrior.t:tree" name="distribution" x="@birthRateY.t:tree">
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.4" name="alpha" spec="beast.base.inference.parameter.RealParameter">0.001</parameter>
#                <parameter estimate="false" id="RealParameter.5" name="beta" spec="beast.base.inference.parameter.RealParameter">1000.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="ClockPrior.c:clock" name="distribution">
#            <parameter id="clockRate.c:clock" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="GammaShapePrior.s:HKY" name="distribution">
#            <parameter id="gammaShape.s:HKY" lower="0.1" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="KappaPrior.s:HKY" name="distribution">
#            <parameter id="kappa.s:HKY" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="M" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="S" spec="beast.base.inference.parameter.RealParameter">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <distribution id="pyg-maca.prior" monophyletic="true" spec="beast.base.evolution.tree.MRCAPrior" tree="@Tree.t:tree">
#            <taxonset id="pyg-maca" spec="beast.base.evolution.alignment.TaxonSet">
#                <taxon id="Pygathrix_cinerea" spec="beast.base.evolution.alignment.Taxon"/>
#                <taxon id="Macaca_fascicularis" spec="beast.base.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Normal id="Normal.0" name="distr">
#                <parameter estimate="false" id="RealParameter.6" name="mean" spec="beast.base.inference.parameter.RealParameter">6.0</parameter>
#                <parameter estimate="false" id="RealParameter.7" name="sigma" spec="beast.base.inference.parameter.RealParameter">0.5</parameter>
#            </Normal>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@Primates" id="treeLikelihood.Primates" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:tree">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:HKY" shape="@gammaShape.s:HKY" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:HKY" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:HKY" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:HKY" kappa="@kappa.s:HKY" spec="beast.base.evolution.substitutionmodel.HKY">
#                    <frequencies data="@Primates" id="empiricalFreqs.s:HKY" spec="beast.base.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:clock" id="StrictClock.c:clock" spec="beast.base.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.Primates	Tree.height	Tree.treeLength	kappa	gammaShape	CalibratedYuleModel	birthRateY	logP(mrca(pyg-maca))	mrca.age(pyg-maca)	clockRate	mutationRate
0	-68329.93120230846	-68272.43109889698	-57.50010341148515	-68272.43109889698	2.0717903822664625	5.932878378265671	2.0	1.0	-2.2082207809730745	1.0	-45.51143595587495	1.2415525324308654	1.0	1.0
1000	-50896.741046656854	-50869.67454545007	-27.06650120678055	-50869.67454545007	4.331924020499976	21.52424585621771	14.621017906852824	0.45392878858044156	-7.528245732859368	0.3708094973437343	-8.430586829631444	3.9745623340884175	0.0349993265464297	1.0
2000	-50693.573913288965	-50674.218590657976	-19.355322630990035	-50674.218590657976	5.785354095120885	27.013674019872774	18.87440864228042	0.2544634194730155	-7.655870349164863	0.3312292195812271	-0.35289096981827883	5.747909126331841	0.03024170688052277	1.0
3000	-50691.46458610315	-50671.7896802755	-19.67490582765219	-50671.7896802755	5.858591951535333	27.28454780123818	18.87440864228042	0.2544634194730155	-7.640469012137963	0.5040711792438712	-0.2682157236273419	5.854355963076729	0.03024170688052277	1.0
4000	-50695.75960693387	-50676.31638609688	-19.443220836989926	-50676.31638609688	5.768119585710121	27.418682680832962	18.87440864228042	0.2544634194730155	-7.9069227808566005	0.2853893258879024	-0.33858996586447465	5.762514618113296	0.03024170688052277	1.0
5000	-50693.64646512119	-50671.34794043699	-22.298524684205464	-50671.34794043699	4.685974458904486	21.640995229884005	18.87440864228042	0.2544634194730155	-6.624463785241142	0.6251892290496679	-3.6925971422779327	4.683412405186574	0.03770613787886419	1.0
6000	-50688.33880498831	-50664.61126646407	-23.7275385242405	-50664.61126646407	4.578593882756156	21.27686521292662	16.474356687819547	0.2544634194730155	-7.3525331906321245	0.9427055909007461	-4.2816872608416885	4.575939624138611	0.03770613787886419	1.0
7000	-50691.56280290012	-50668.04941819084	-23.513384709274	-50668.04941819084	7.164796357417283	33.425358517784055	16.474356687819547	0.2544634194730155	-9.012222271848685	0.5614162565079933	-2.9259987711063093	7.161939632352211	0.024473104524637704	1.0
8000	-50685.467083198535	-50664.90320967255	-20.563873525988665	-50664.90320967255	6.774553468040271	31.65895878633986	16.474356687819547	0.2544634194730155	-8.2431938630765	0.2908084373659527	-1.4029266675813585	6.767181632645305	0.02446537956837924	1.0
9000	-50691.19956841833	-50671.31604019712	-19.8835282212081	-50671.31604019712	6.369404150513622	30.443374170692234	16.474356687819547	0.2544634194730155	-8.19433780970251	0.3870306291597713	-0.4857879576090702	6.360552773505033	0.02446537956837924	1.0
10000	-50688.451641029875	-50667.94212544215	-20.509515587729886	-50667.94212544215	6.666863971998875	31.556580607250336	16.474356687819547	0.2544634194730155	-8.270608965951794	0.37167791784846693	-1.0759552124325928	6.651983074852356	0.02446537956837924	1.0
11000	-50685.36545317059	-50664.35243134944	-21.013021821151582	-50664.35243134944	6.896443248987591	32.13010155111617	16.474356687819547	0.2544634194730155	-8.489775984720831	0.23381884861844554	-1.8234498078130712	6.893772469694705	0.02446537956837924	1.0
12000	-50688.918614386675	-50668.319814575014	-20.59879981166123	-50668.319814575014	6.537842601462473	30.800794963916857	16.474356687819547	0.2544634194730155	-8.390673763794007	0.496747542470155	-0.7552853559671489	6.514535714660519	0.02446537956837924	1.0
13000	-50693.05324277477	-50670.98203123094	-22.071211543830017	-50670.98203123094	7.179050746186377	33.48840275093309	16.474356687819547	0.2544634194730155	-8.516424371027838	0.26990631333183007	-2.71157033818692	7.114849538175935	0.02446537956837924	1.0
14000	-50689.24742784521	-50669.34960307422	-19.89782477098856	-50669.34960307422	6.533497975599139	30.93810619179922	16.474356687819547	0.2544634194730155	-8.33786840930001	0.2657688465102256	-0.7321761947841094	6.503182294074117	0.02446537956837924	1.0
15000	-50689.17487587911	-50668.44955575799	-20.72532012112013	-50668.44955575799	5.621243341753243	26.56561897572904	16.474356687819547	0.2544634194730155	-8.361829669611483	0.7307932155993629	-0.5247531558102894	5.613372399352063	0.02889130474113651	1.0
16000	-50684.999310454055	-50665.82824822894	-19.171062225114824	-50665.82824822894	5.801673152552185	27.455990847446696	16.474356687819547	0.2544634194730155	-7.697988678079405	0.37270257137809665	-0.3073708272955884	5.798035306735483	0.02889130474113651	1.0
17000	-50688.26794370772	-50665.19286976019	-23.0750739475257	-50665.19286976019	6.147487113236077	28.978005610470447	16.474356687819547	0.2544634194730155	-14.09237300460975	0.03211679090813357	-0.26628913838402346	6.142298604594873	0.027200479023681255	1.0
18000	-50685.14642239698	-50665.5717692114	-19.57465318558739	-50665.5717692114	6.487694983371411	29.831113987545372	16.474356687819547	0.2544634194730155	-7.9357493835163915	0.2971809998449431	-0.6994894900979273	6.486671417618294	0.02654588994811031	1.0
19000	-50684.13754432269	-50663.57296577793	-20.564578544763187	-50663.57296577793	6.754160835445482	31.335713972503882	16.83411740407613	0.2399032191129912	-8.671609354852285	0.19874694702935372	-1.3234571198214788	6.740832561101613	0.0260723029758496	1.0
20000	-50684.34799314778	-50664.36025647551	-19.98773667226822	-50664.36025647551	5.221992981738741	24.272898980524417	17.34536047501279	0.24157401161537917	-7.5903460426423175	0.26663478057508266	-1.4674693273991717	5.212066635192276	0.032747225060395235	1.0
21000	-50687.39782885352	-50666.67195140399	-20.72587744953449	-50666.67195140399	6.489581966124047	29.46215292759617	17.04764992229826	0.23516098288926224	-10.097864557833976	0.10394370998213331	-0.683507507662672	6.4783911344381	0.027415665511582685	1.0
22000	-50686.432436106705	-50664.39904544302	-22.033390663690756	-50664.39904544302	6.87886238523324	32.30027194242951	16.63080736019126	0.2367337153937273	-8.743643551383554	0.5343707441826261	-1.7612837691071488	6.876211280588883	0.025018055080122257	1.0
23000	-50683.44522882403	-50663.41131945443	-20.03390936959622	-50663.41131945443	6.244206795540548	28.972254814871235	17.21417790410511	0.24243866434514177	-8.055372592811343	0.5540082835825976	-0.3334730011688631	6.232036256352467	0.027605072801586285	1.0
24000	-50690.12556087844	-50668.70235934961	-21.4232015288286	-50668.70235934961	4.757326225851085	22.192013018274253	16.326385244252418	0.23602999372681033	-7.049867415650736	0.33187263837138564	-3.3614198558715334	4.747876103728787	0.03628476100585807	1.0
25000	-50682.804855678376	-50663.58203049717	-19.22282518120824	-50663.58203049717	6.153217068442286	28.519519021835727	17.37228160596811	0.24387021066388173	-8.114479242867143	0.24136785489108695	-0.27222071404686543	6.152363646258118	0.0278007494813988	1.0
26000	-50684.677051376646	-50664.30296816188	-20.374083214769072	-50664.30296816188	5.93242723397022	27.491861952977384	16.96798075694323	0.2307588900856743	-10.279313241350952	0.09681580141806435	-0.23582355889720816	5.9291755471165475	0.03040160197063812	1.0
27000	-50688.214457044895	-50667.41207203499	-20.80238500990237	-50667.41207203499	6.447823662164475	30.14438828323262	17.63133283564405	0.23450810427639993	-10.154774398615803	0.10483240972422775	-0.6216660871966216	6.444901525369319	0.026698028794272816	1.0
28000	-50684.98231013842	-50664.80901617172	-20.173293966695844	-50664.80901617172	5.1425947703203585	24.022491260388083	16.784312914602005	0.24810615431235172	-7.078902154857702	0.4394435679445814	-1.7301704742427422	5.132711373994212	0.033878297995871415	1.0
29000	-50683.14918451417	-50663.10485739879	-20.044327115387997	-50663.10485739879	5.183398920018886	23.98126646600125	17.95510831253113	0.22783334356142432	-6.994680089115856	0.4386880637259429	-1.559971687821966	5.183244119954671	0.034915028940643376	1.0
30000	-50687.750690114844	-50667.411145269274	-20.339544845571094	-50667.411145269274	5.522350661011908	25.80590224030215	17.3929500137701	0.22993665094379898	-9.397642340833078	0.12890985529726243	-0.7438038648654891	5.491073427584705	0.03037657135052143	1.0
31000	-50685.100762284004	-50665.811051754914	-19.289710529092147	-50665.811051754914	5.839928683011811	27.01651658004344	18.2469641600059	0.23373665092600074	-7.481001861551793	0.4342461894997869	-0.2876122728246912	5.824186291518602	0.03082247323380318	1.0
32000	-50689.32155055359	-50667.80400684292	-21.51754371067097	-50667.80400684292	4.777908619771406	22.141663879875786	18.663349870285835	0.22188471696242706	-6.734056156153628	0.43230919739090384	-3.228490904472175	4.774704208807635	0.0361414037272462	1.0
33000	-50684.905082285215	-50665.834064692506	-19.071017592705648	-50665.834064692506	6.045586892036641	28.088834843546657	16.788869252133388	0.24261491993265286	-7.693311523216919	0.3565637952144218	-0.22725829921111249	6.027082711887707	0.029355191842050134	1.0
34000	-50685.61742791228	-50664.45033183709	-21.1670960751864	-50664.45033183709	5.941068475162957	27.642575399534998	17.061997667842693	0.2396027239274825	-8.908142102309704	0.8269248767887393	-0.23566334728428023	5.929743346793514	0.028584672672761675	1.0
35000	-50690.11515772579	-50666.69567238346	-23.41948534233284	-50666.69567238346	4.90868305194692	22.996327446349433	17.168452513144793	0.23864723142226496	-8.475029482023126	1.0347285640459787	-2.6844122076931463	4.891257276224908	0.03566628489792969	1.0
36000	-50683.75074698053	-50663.42613873058	-20.324608249946884	-50663.42613873058	6.306666446946135	29.26887323109936	17.12810962792987	0.24581673924453876	-9.855812015038643	0.11449422399840645	-0.40679783712876505	6.300837567870136	0.027511801782651356	1.0
37000	-50688.92093472481	-50668.64767400807	-20.27326071674025	-50668.64767400807	5.324749912755498	24.30360666694464	18.049889491218842	0.22120441413090214	-7.203482651968564	0.6780589311735491	-1.1398470898865867	5.323961636723973	0.03541097582943169	1.0
38000	-50685.22927510016	-50665.65319615642	-19.57607894374437	-50665.65319615642	5.599794690841731	25.59074539212521	16.965522876940934	0.2340945816368351	-7.331522724162159	0.5940708825074614	-0.5697172687564278	5.585315833367308	0.031484772351121224	1.0
39000	-50685.29777288033	-50665.72519266537	-19.5725802149584	-50665.72519266537	5.467690050501451	25.07115380755086	17.942667004869463	0.2270538669305833	-7.947177469788753	0.22251974117620657	-0.8163475485264715	5.456605025841357	0.033008660581986586	1.0
40000	-50684.45930718123	-50665.08514749483	-19.37415968639704	-50665.08514749483	5.919174290747344	27.709415688644768	17.189724270557495	0.24885519433984085	-7.682252091625463	0.45521709468127786	-0.23983504040997522	5.916203556861738	0.028827214108806353	1.0
41000	-50685.26924764383	-50665.091161777236	-20.178085866597343	-50665.091161777236	5.2866068441275385	24.604432759706533	16.43440124246679	0.24633396796667612	-7.286518431500127	0.5838958303709095	-1.2905165549249555	5.2703681742549096	0.032053564346429426	1.0
42000	-50695.11491557344	-50667.91709522488	-27.197820348558434	-50667.91709522488	3.864493080032565	17.850397384562044	18.92347431918329	0.2273801577615692	-5.799186958646329	0.6768978666283157	-9.358996435630697	3.863038947127724	0.04884816725666378	1.0
43000	-50686.3652982627	-50666.84298154775	-19.52231671495235	-50666.84298154775	6.183073203372178	28.52124094448005	16.05074925298459	0.2329664282293998	-7.831462908411742	0.5166459104519133	-0.2761251448500936	6.158640776922843	0.02833473821327671	1.0
44000	-50683.53001658448	-50664.11259688689	-19.417419697596202	-50664.11259688689	5.913061180820785	27.05729115017703	16.64637434070079	0.23478587997842568	-7.573984359399978	0.5751827934935605	-0.2413341791007811	5.911844380621387	0.030592855772285214	1.0
45000	-50688.6409849348	-50669.27799988936	-19.362985045434556	-50669.27799988936	5.542843164007133	25.510239651907636	16.9336764696665	0.22259462320823953	-8.08468285945998	0.212401985793848	-0.6469140858638203	5.5411303381029136	0.03055907496803186	1.0
46000	-50685.75958785508	-50663.30193475774	-22.457653097332884	-50663.30193475774	6.142228260754082	28.44088100478662	17.322326354993777	0.22471576732508	-9.968134164070133	0.9921039441127588	-0.2660008059514121	6.141791137428763	0.029041224279858134	1.0
47000	-50688.998139129944	-50667.928837822736	-21.069301307205507	-50667.928837822736	4.8462636956519045	22.26546579659932	15.6966991347619	0.23484112674168497	-6.66917593243471	0.5535577409152587	-2.962041037359001	4.830331310858867	0.03592702350065977	1.0
48000	-50684.662144780414	-50665.06283027601	-19.599314504401736	-50665.06283027601	5.362834197216695	24.888909408415866	16.378125414618154	0.2365868273721717	-7.8873504655854525	0.23219506320264863	-1.0496111829474009	5.3581979159029345	0.031149735950844505	1.0
49000	-50688.237355187106	-50666.598633501744	-21.63872168535851	-50666.598633501744	5.677569138046085	26.664191639069756	15.949224311287301	0.23668191748478892	-9.217600186307473	0.923695452895247	-0.43537046983820304	5.676287846078128	0.029884311981132828	1.0
50000	-50686.742889508714	-50666.840720963846	-19.90216854486792	-50666.840720963846	6.5119230766233995	30.51986331374114	16.043814751257578	0.23949394672790142	-8.749395177750504	0.18832674641587438	-0.7409387843750399	6.507517207457202	0.02632540968542462	1.0
51000	-50685.9329411869	-50665.70317333151	-20.229767855388776	-50665.70317333151	6.5533119961707555	30.37737856227103	17.395410384882478	0.22273435906189207	-8.02756094628442	0.4384226678981724	-0.787845564289408	6.5301198975914225	0.026431412761701554	1.0
52000	-50687.05703817243	-50668.136829255614	-18.92020891681968	-50668.136829255614	5.833943833704423	27.153733637920308	15.808324469856734	0.23013520659886386	-8.016500958522798	0.2416362745574731	-0.2836904899733358	5.829854272271373	0.029972734851393137	1.0
53000	-50690.598025776046	-50670.63472979039	-19.96329598565629	-50670.63472979039	5.3440998929124435	24.712893704649787	16.12779471946614	0.23147525091484675	-7.254388872983366	0.5607245090442746	-1.2035972822686112	5.3007840356428195	0.031313280520869825	1.0
54000	-50686.984436533276	-50667.8667588887	-19.11767764457987	-50667.8667588887	5.767746951373242	26.93522298872059	17.18263474019325	0.22024235718258237	-7.91489213389076	0.2580729375800922	-0.3473869662303449	5.753427887236191	0.029575211891860857	1.0
55000	-50683.788188274964	-50663.94188769567	-19.846300579291523	-50663.94188769567	5.333796560204508	24.637567539027312	17.78334227548998	0.22760374671393502	-7.103190806393991	0.5129132070979023	-1.1186251466005652	5.3318556316349595	0.03314957696522246	1.0
56000	-50683.9650187784	-50663.83056234616	-20.13445643224073	-50663.83056234616	5.06219258964276	23.161185064320748	17.09658745041483	0.22867206495353792	-6.94563235244766	0.3644505407123349	-1.9910228524521645	5.060523683159752	0.036201527690383525	1.0
